draw,mu_1,sigma
0,0.007232362404465675,0.473718523979187
1,-0.010380161926150322,0.45338019728660583
2,0.020805740728974342,0.4384056627750397
3,0.023351233452558517,0.4345471262931824
4,0.06786877661943436,0.4763003885746002
5,0.03221016749739647,0.4336641728878021
6,-0.04263955354690552,0.43758583068847656
7,0.023166339844465256,0.4535597562789917
8,0.011091193184256554,0.4137008786201477
9,-0.013367561623454094,0.46714332699775696
10,-0.0009639710187911987,0.4468111991882324
11,0.021280795335769653,0.42059487104415894
12,0.02695349231362343,0.465718537569046
13,-0.028056500479578972,0.4669807255268097
14,0.015900053083896637,0.4489777088165283
15,0.06265857070684433,0.4028519093990326
16,-0.002201477065682411,0.4584595859050751
17,0.0919935554265976,0.49959859251976013
18,-0.011434799060225487,0.4653979539871216
19,0.02351488173007965,0.3877220153808594
20,0.024045832455158234,0.48108208179473877
21,0.03214086592197418,0.4798209071159363
22,0.038211554288864136,0.45588088035583496
23,0.05044412612915039,0.39412280917167664
24,0.05218576267361641,0.4696057140827179
25,0.040920089930295944,0.4763527512550354
26,0.05284775048494339,0.4799070656299591
27,0.012804413214325905,0.4249049127101898
28,0.05582095682621002,0.4919796288013458
29,-0.013776721432805061,0.4562312662601471
30,0.02356937900185585,0.43239548802375793
31,0.029991723597049713,0.453407347202301
32,0.006243981420993805,0.4443337023258209
33,0.004860971122980118,0.457015722990036
34,-0.03323131054639816,0.41046983003616333
35,0.02425900101661682,0.42010053992271423
36,0.014271712861955166,0.4626695215702057
37,0.0447143018245697,0.4612305462360382
38,0.07681035250425339,0.3937208354473114
39,0.013799264095723629,0.4374724328517914
40,0.009040161967277527,0.42457398772239685
41,0.07129906117916107,0.46764901280403137
42,0.0034064147621393204,0.48456817865371704
43,0.06690323352813721,0.4598943889141083
44,0.006246516481041908,0.4128509759902954
45,0.0571259930729866,0.41219595074653625
46,-0.01712687872350216,0.42022839188575745
47,0.02940930612385273,0.44182437658309937
48,0.04755248874425888,0.4236212968826294
49,0.04931096360087395,0.4478873312473297
50,0.0634404793381691,0.4012194275856018
51,0.033528223633766174,0.4501394033432007
52,-0.044798485934734344,0.4284857213497162
53,0.07202653586864471,0.42849645018577576
54,-0.008086921647191048,0.43863582611083984
55,-0.009323125705122948,0.41379907727241516
56,-0.028725603595376015,0.5005055665969849
57,0.028559178113937378,0.4434061646461487
58,0.03241496905684471,0.44684141874313354
59,0.052901268005371094,0.42733287811279297
60,0.020412180572748184,0.4418024718761444
61,-0.027345804497599602,0.397371381521225
